CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_III_VL_PASSIVO;TAB_III_A_VL_PAGAR;TAB_III_A1_VL_CPRAZO;TAB_III_A2_VL_LPRAZO;TAB_III_B_VL_POSICAO_DERIV;TAB_III_B1_VL_TERMO;TAB_III_B2_VL_OPCAO;TAB_III_B3_VL_FUTURO;TAB_III_B4_VL_SWAP_PAGAR
11.507.489/0001-09;BFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2024-11-30;1343751.48;1343751.48;1343751.48;0.00;0.00;0.00;0.00;0.00;0.00
11.629.795/0001-18;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS EXODUS INSTITUCIONAL;2024-11-30;833220.03;833220.03;833220.03;0.00;0.00;0.00;0.00;0.00;0.00
11.675.457/0001-12;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL MASTER;2024-11-30;228079.44;228079.44;228079.44;0.00;0.00;0.00;0.00;0.00;0.00
11.693.671/0001-00;R&G FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;1381706.13;1381706.13;1381706.13;0.00;0.00;0.00;0.00;0.00;0.00
11.701.985/0001-07;VALORA GUARDIAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;351317.78;351317.78;346930.58;4387.20;0.00;0.00;0.00;0.00;0.00
11.812.962/0001-61;BERLANDA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  SEGMENTO ECONÔMICO FINANCEIRO;2024-11-30;173371.53;173371.53;173371.53;0.00;0.00;0.00;0.00;0.00;0.00
11.813.230/0001-96;MA MÁQUINAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO DO AGRONEGÓCIO;2024-11-30;40875.39;40875.39;40875.39;0.00;0.00;0.00;0.00;0.00;0.00
11.823.118/0001-36;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL PREVIA;2024-11-30;2512062.91;2512062.91;2512062.91;0.00;0.00;0.00;0.00;0.00;0.00
11.827.500/0001-18;FC FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;2881617.40;2881617.40;5033.62;2876583.78;0.00;0.00;0.00;0.00;0.00
11.888.461/0001-69;ITU FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;284718.28;284718.28;284718.28;0.00;0.00;0.00;0.00;0.00;0.00
11.902.354/0001-48;FM1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS-  RESPONSABILIDADE LIMITADA;2024-11-30;8480473.09;8480473.09;54576.61;8425896.48;0.00;0.00;0.00;0.00;0.00
11.989.256/0001-90;FIDC MULTISETORIAL MASTER II;2024-11-30;1150966.79;1150966.79;1150966.79;0.00;0.00;0.00;0.00;0.00;0.00
12.036.226/0001-21;SG III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;93139.30;93139.30;93139.30;0.00;0.00;0.00;0.00;0.00;0.00
12.036.247/0001-47;SG III FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2024-11-30;84090.47;84090.47;84090.47;0.00;0.00;0.00;0.00;0.00;0.00
12.093.804/0001-61;CAPITAL ANNEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;3164143.76;3164143.76;3161419.11;2724.65;0.00;0.00;0.00;0.00;0.00
12.138.813/0001-21;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL MASTER III;2024-11-30;545048.74;545048.74;545048.74;0.00;0.00;0.00;0.00;0.00;0.00
12.138.862/0001-64;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL SILVERADO MAXIMUM II;2024-11-30;93433.38;93433.38;93433.38;0.00;0.00;0.00;0.00;0.00;0.00
12.144.737/0001-67;CREDIT BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL MASTER;2024-11-30;270837.78;270837.78;270837.78;0.00;0.00;0.00;0.00;0.00;0.00
12.167.116/0001-07;VIA INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA;2024-11-30;3794404.57;3794404.57;3791682.56;2722.01;0.00;0.00;0.00;0.00;0.00
12.182.585/0001-97;AGRO 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;9275070.89;9275070.89;9275070.89;0.00;0.00;0.00;0.00;0.00;0.00
12.227.850/0001-06;G5 BR INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;43576.93;43576.93;43576.93;0.00;0.00;0.00;0.00;0.00;0.00
12.236.809/0001-04;PLR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;12002.42;12002.42;12002.42;0.00;0.00;0.00;0.00;0.00;0.00
12.254.372/0001-23;GARSON - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;2962305.71;2962305.71;2962305.71;0.00;0.00;0.00;0.00;0.00;0.00
